blockHash,blockNumber,tokenId,oldPrice,newPrice,prevOwner,winner,name
0xdcf4ea73ccde199183712e5c2b2ad0a437d90694fa9d7f6f5675e837240eb703,5104784,140,4526935264825712,9631777159203642,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x2C37f2c08F934bA22BF980600e3660d987864034,@tehMoonwalker
0x55a88a2048bb38420cf6d75a6b4874eefb8c0f28018477260784a1a76a8b3faa,5104786,127,218152066151076101,290095832647707581,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,0xd61A00797ac8170A44CDbe95eB37c745490cF29A,@LuminousNebulae
0x55a88a2048bb38420cf6d75a6b4874eefb8c0f28018477260784a1a76a8b3faa,5104786,136,9631777159203642,20493142891922642,0x2C37f2c08F934bA22BF980600e3660d987864034,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@pt0kes
0x85a0357347fe46618c600ad2dc483439c642daa276f4f854c55de25a3c65033f,5104787,131,92771131244557002,123365866016698140,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,@BryceWeiner
0x85a0357347fe46618c600ad2dc483439c642daa276f4f854c55de25a3c65033f,5104787,129,512986349606205404,682162698944422079,0x0a3FF6209ebcd7401fBA0ED5AFE56FAD353EF7b7,0x238361f646681118c3DC9dF3197fD82D3324856e,@theartistcoach
0x85a0357347fe46618c600ad2dc483439c642daa276f4f854c55de25a3c65033f,5104787,127,290095832647707581,385765734903866464,0xd61A00797ac8170A44CDbe95eB37c745490cF29A,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@LuminousNebulae
0x85a0357347fe46618c600ad2dc483439c642daa276f4f854c55de25a3c65033f,5104787,127,385765734903866464,512986349606205404,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,@LuminousNebulae
0x15ae702a4a61b02b1fa8bfb15cc89100983088166303f8f9392a318c11f98b9b,5104788,133,20493142891922642,43602431684941791,0x2C37f2c08F934bA22BF980600e3660d987864034,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,@doc_bitcoin
0x15ae702a4a61b02b1fa8bfb15cc89100983088166303f8f9392a318c11f98b9b,5104788,138,9631777159203642,20493142891922642,0xbc5Ed07eF6823c434D0a7361DC88052F9dBFA5dD,0x32E2f310dD2996AC37fe0Ce255e5Ce1C1ffCdA76,@CryptoeyJoey
0x15ae702a4a61b02b1fa8bfb15cc89100983088166303f8f9392a318c11f98b9b,5104788,132,43602431684941791,92771131244557002,0x72b9D561D9EeFF069d9B28A568C65945174f9E0B,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@MaxN0rmal
0x15ae702a4a61b02b1fa8bfb15cc89100983088166303f8f9392a318c11f98b9b,5104788,139,20493142891922642,43602431684941791,0xbB1c298226157fBA45Ed112772B1C1BA655B7749,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,@TehJoeCow
0x15ae702a4a61b02b1fa8bfb15cc89100983088166303f8f9392a318c11f98b9b,5104788,140,9631777159203642,20493142891922642,0x2C37f2c08F934bA22BF980600e3660d987864034,0x8908168Ed092276d8c54B0dF3959c2dd092e30C9,@tehMoonwalker
0x15ae702a4a61b02b1fa8bfb15cc89100983088166303f8f9392a318c11f98b9b,5104788,134,4526935264825712,9631777159203642,0xe204861C8CF513f9646566a67ACe951E22A7D045,0x2C37f2c08F934bA22BF980600e3660d987864034,@doc_bitcoin
0xc320c0bd2d4f829a3a55e6d430b6f7ecaf3885980a7821fea4f93506887a1155,5104790,131,123365866016698140,164050353745609228,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,@BryceWeiner
0xc320c0bd2d4f829a3a55e6d430b6f7ecaf3885980a7821fea4f93506887a1155,5104790,131,123365866016698140,164050353745609228,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,@BryceWeiner
0xb59b2d4338a298eed73e71021bd439be3bac997a00e08784891a8b4e41272922,5104791,131,164050353745609228,218152066151076101,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,0x238361f646681118c3DC9dF3197fD82D3324856e,@BryceWeiner
0xb59b2d4338a298eed73e71021bd439be3bac997a00e08784891a8b4e41272922,5104791,136,20493142891922642,43602431684941791,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x96209EE926b91AC72254897B1A5788F740EF2CD1,@pt0kes
0xb59b2d4338a298eed73e71021bd439be3bac997a00e08784891a8b4e41272922,5104791,131,218152066151076101,290095832647707581,0x238361f646681118c3DC9dF3197fD82D3324856e,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@BryceWeiner
0xb59b2d4338a298eed73e71021bd439be3bac997a00e08784891a8b4e41272922,5104791,137,9631777159203642,20493142891922642,0x2C37f2c08F934bA22BF980600e3660d987864034,0xbc5Ed07eF6823c434D0a7361DC88052F9dBFA5dD,@Ficusplant
0x8ec367803a5e2eb800582cef53d4a2f6b02ccd0f00d1cd3a6eed04cfabcf617a,5104792,139,43602431684941791,92771131244557002,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,@TehJoeCow
0x8ec367803a5e2eb800582cef53d4a2f6b02ccd0f00d1cd3a6eed04cfabcf617a,5104792,138,20493142891922642,43602431684941791,0x32E2f310dD2996AC37fe0Ce255e5Ce1C1ffCdA76,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@CryptoeyJoey
0x8ec367803a5e2eb800582cef53d4a2f6b02ccd0f00d1cd3a6eed04cfabcf617a,5104792,132,92771131244557002,123365866016698140,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@MaxN0rmal
0x61258a2ccc8be4bbcd56f76b94fa65071a12930e579a29e8201e1c97c51f02b8,5104793,131,290095832647707581,385765734903866464,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0x0a3FF6209ebcd7401fBA0ED5AFE56FAD353EF7b7,@BryceWeiner
0xa24900b8229050d8cdb2ea9da4f2d906272cb2904baffcb6908c6709f42ecebd,5104794,131,385765734903866464,512986349606205404,0x0a3FF6209ebcd7401fBA0ED5AFE56FAD353EF7b7,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,@BryceWeiner
0x4d30332f0eb0907f7c2975c6deea1e5c3b72464ce6d89a157a26b8a38f87b2bb,5104796,131,512986349606205404,682162698944422079,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,0x203b0A62e2AD8D4e73a1989140a4d4D5D0d28B19,@BryceWeiner
0x46a51a2986ea9d878909b778131783f3a3595127fddcc5c578da7c8e8ba34111,5104797,140,20493142891922642,43602431684941791,0x8908168Ed092276d8c54B0dF3959c2dd092e30C9,0x72b9D561D9EeFF069d9B28A568C65945174f9E0B,@tehMoonwalker
0x46a51a2986ea9d878909b778131783f3a3595127fddcc5c578da7c8e8ba34111,5104797,139,92771131244557002,123365866016698140,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,0xbc5Ed07eF6823c434D0a7361DC88052F9dBFA5dD,@TehJoeCow
0xa028619646f6b123ae90b818d81fb249bed50c3408d2deeb551774e54d1e3d2a,5104798,132,123365866016698140,164050353745609228,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,@MaxN0rmal
0xa028619646f6b123ae90b818d81fb249bed50c3408d2deeb551774e54d1e3d2a,5104798,133,43602431684941791,92771131244557002,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@doc_bitcoin
0xb7d2af89ed233e95ba1275e08e602619d9f716bbbd94d1a6bd5ab8d2e61b522e,5104799,132,164050353745609228,218152066151076101,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,@MaxN0rmal
0xb7d2af89ed233e95ba1275e08e602619d9f716bbbd94d1a6bd5ab8d2e61b522e,5104799,130,682162698944422079,907131248596305956,0x96209EE926b91AC72254897B1A5788F740EF2CD1,0xbB1c298226157fBA45Ed112772B1C1BA655B7749,@Jennicide
0x60f300ac9e5d8c2d588d2f0ec51c613fcce85b185be4d48b5acd3eaa51abad21,5104800,133,92771131244557002,123365866016698140,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@doc_bitcoin
0xc19c4c51ebaf50bcca273e0089c0c1ef077095ff44374ed3908a55198cc15e88,5104801,132,218152066151076101,290095832647707581,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,0x238361f646681118c3DC9dF3197fD82D3324856e,@MaxN0rmal
0xc19c4c51ebaf50bcca273e0089c0c1ef077095ff44374ed3908a55198cc15e88,5104801,132,290095832647707581,385765734903866464,0x238361f646681118c3DC9dF3197fD82D3324856e,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,@MaxN0rmal
0x142c606a875771e53ec849d6e7d44e3e76f989007347535678588134282bddc9,5104803,136,43602431684941791,92771131244557002,0x96209EE926b91AC72254897B1A5788F740EF2CD1,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,@pt0kes
0x9fa27bb7527bf808022a8f8213cb18f36fe2ef7eb8974ecee7e08d3b1a57cdf8,5104806,139,123365866016698140,164050353745609228,0xbc5Ed07eF6823c434D0a7361DC88052F9dBFA5dD,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,@TehJoeCow
0x9741fab6e55e6a799fd24595a5d55ec40b62fb1f14198273de7125bbc7868487,5104808,138,43602431684941791,92771131244557002,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,@CryptoeyJoey
0x3f84347aa17f923fafcd7241d7aeeb310f54bfd7a7598b7ab47933efaab80c6a,5104810,137,20493142891922642,43602431684941791,0xbc5Ed07eF6823c434D0a7361DC88052F9dBFA5dD,0x72b9D561D9EeFF069d9B28A568C65945174f9E0B,@Ficusplant
0x3f84347aa17f923fafcd7241d7aeeb310f54bfd7a7598b7ab47933efaab80c6a,5104810,136,92771131244557002,123365866016698140,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@pt0kes
0x3f84347aa17f923fafcd7241d7aeeb310f54bfd7a7598b7ab47933efaab80c6a,5104810,132,385765734903866464,512986349606205404,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@MaxN0rmal
0x1aa55d0393c3b932fd5a851e4ad3c6b3bf7f34434525eec371d2d3ddbd0bf703,5104811,139,164050353745609228,218152066151076101,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,0xd61A00797ac8170A44CDbe95eB37c745490cF29A,@TehJoeCow
